province,category,quarter,contract_count,median_value,mean_value,total_value,std_value,reliability_tier,opportunity_score,pct_of_national_spend,value_rank,quarter_label,gauteng_flag,median_value_fmt,total_value_fmt
Free State,Services,3,28,5339076.0,662355627.2142857,18545957562.0,1889774773.0780106,High Confidence,18.5887,0.592,32,Q3 (Jul-Sep),0,R5.34M,R18.55B
Kwazulu-Natal,Unknown,3,33,5285439.0,56184294.93939394,1854081733.0,178531880.39797813,High Confidence,18.5766,0.059,33,Q3 (Jul-Sep),0,R5.29M,R1.85B
North West,Services,3,14,4837737.5,684751937.0714285,9586527119.0,2103404610.6377661,High Confidence,18.4703,0.306,34,Q3 (Jul-Sep),0,R4.84M,R9.59B
Eastern Cape,Services,3,98,4315853.5,93134099.13020408,9127141714.76,324839441.52434206,High Confidence,18.3334,0.291,35,Q3 (Jul-Sep),0,R4.32M,R9.13B
Mpumalanga,Services,2,26,37969237.0,738155813.4230769,19192051149.0,1475175476.15563,High Confidence,18.3249,0.612,36,Q2 (Apr-Jun),0,R37.97M,R19.19B
Limpopo,Works,4,32,225120325.0,407960524.65625,13054736789.0,587960713.1950165,High Confidence,18.2705,0.416,37,Q4 (Oct-Dec),0,R225.12M,R13.05B
Gauteng,Unknown,2,53,26000000.0,237411412.36792454,12582804855.5,871306223.2338359,High Confidence,17.9273,0.401,38,Q2 (Apr-Jun),1,R26.00M,R12.58B
North West,Services,2,13,25953373.0,211768437.07692307,2752989682.0,271219421.92385864,High Confidence,17.9254,0.088,39,Q2 (Apr-Jun),0,R25.95M,R2.75B
Eastern Cape,Works,4,42,155675787.5,521744730.0,21913278660.0,1040997113.7382637,High Confidence,17.9201,0.699,40,Q4 (Oct-Dec),0,R155.68M,R21.91B
National,Unknown,2,71,24859034.0,768421906.5352113,54557955364.0,3444165082.5481915,High Confidence,17.8802,1.74,41,Q2 (Apr-Jun),0,R24.86M,R54.56B
Western Cape,Unknown,2,46,21027290.0,266695654.97826087,12268000129.0,821084515.8171905,High Confidence,17.7044,0.391,42,Q2 (Apr-Jun),0,R21.03M,R12.27B
Western Cape,Services,2,64,19392090.0,539925957.0676563,34555261252.33,2052896847.284287,High Confidence,17.6194,1.102,43,Q2 (Apr-Jun),0,R19.39M,R34.56B
Kwazulu-Natal,Works,4,55,113079553.0,934560990.9818182,51400854504.0,1702250530.7177637,High Confidence,17.6164,1.64,44,Q4 (Oct-Dec),0,R113.08M,R51.40B
Mpumalanga,Services,4,16,107316898.0,2596564562.6875,41545033003.0,4371164118.860895,High Confidence,17.5667,1.325,45,Q4 (Oct-Dec),0,R107.32M,R41.55B
National,Works,4,15,102848180.0,2529062740.3333335,37935941105.0,8233260374.338477,High Confidence,17.5263,1.21,46,Q4 (Oct-Dec),0,R102.85M,R37.94B
