id,name,main_ocid,main_id,tender_id
21427,Government Printing Works,ocds-9t57fa-102077,ocds-9t57fa-102077-2024-04-15T00:00:00Z,102077
21430,MAAA0007692 ,ocds-9t57fa-102101,ocds-9t57fa-102101-2023-08-08T00:00:00Z,102101
21504,MAAA0007692 - (BIDVEST OFFICE),ocds-9t57fa-102419,ocds-9t57fa-102419-2022-12-22T00:00:00Z,102419
22931,MAAA0013953 - (ANZOMODE MARKETING),ocds-9t57fa-103349,ocds-9t57fa-103349-2024-10-01T00:00:00Z,103349
22117,MAAA0460116 - (SEBATA-SEBATANA BUSINESS ENTERPRISE),ocds-9t57fa-103427,ocds-9t57fa-103427-2024-10-01T00:00:00Z,103427
21884,MAAA0021242 - (COMPUAFRIKA PTY LTD),ocds-9t57fa-105214,ocds-9t57fa-105214-2024-09-03T00:00:00Z,105214
22071,MAAA0469204 - (RICHMAN LOGISTICS),ocds-9t57fa-106668,ocds-9t57fa-106668-2024-10-14T00:00:00Z,106668
22664,ABSA Bank Limited ,ocds-9t57fa-107052,ocds-9t57fa-107052-2024-11-05T00:00:00Z,107052
22242,MAAA0525072 - (RIZQ ENTERPRISE),ocds-9t57fa-107959,ocds-9t57fa-107959-2024-11-12T00:00:00Z,107959
22379,MAAA1399107 - (INTELLIGENT VENDING SOLUTION AND PRODUCT SUPPLY),ocds-9t57fa-108599,ocds-9t57fa-108599-2024-01-01T00:00:00Z,108599
24927,MAAA0094364 - (3RD GENERATION TRADING),ocds-9t57fa-109557,ocds-9t57fa-109557-2024-11-26T00:00:00Z,109557
23012,MAAA0622201 - (SOMBS HOLDINGS),ocds-9t57fa-110089,ocds-9t57fa-110089-2024-12-03T00:00:00Z,110089
2896,Bidvest Protea Coin (Pty) Ltd,ocds-9t57fa-11024,ocds-9t57fa-11024-2021-11-08T00:00:00Z,11024
23154,MAAA1407831 - (MAINLINE SERVICES),ocds-9t57fa-111173,ocds-9t57fa-111173-2024-12-14T00:00:00Z,111173
22896,LRMG Pty Ltd,ocds-9t57fa-111339,ocds-9t57fa-111339-2024-12-23T00:00:00Z,111339
24436,MAAA0035251 - (ABSA BANK),ocds-9t57fa-112184,ocds-9t57fa-112184-2025-01-21T00:00:00Z,112184
25522,MAAA0004972,ocds-9t57fa-113689,ocds-9t57fa-113689-2025-02-04T00:00:00Z,113689
