id,title,description,status,value_amount,value_currency,main_ocid,main_id
39105, (ANZET TRADING),EME,active,51002000.0,ZAR,ocds-9t57fa-100408,ocds-9t57fa-100408-2024-09-02T00:00:00Z
42484, (CA COMPUTER SOLUTIONS INTERNATIONAL),EME,active,15871380.0,ZAR,ocds-9t57fa-100419,ocds-9t57fa-100419-2024-09-02T00:00:00Z
40533, (IMBEKO TRAVEL AND HOSPITALITY),EME,active,427800.0,ZAR,ocds-9t57fa-100418,ocds-9t57fa-100418-2024-09-02T00:00:00Z
37188, (RAFUNI),QSE,active,497747549.0,ZAR,ocds-9t57fa-100566,ocds-9t57fa-100566-2024-09-03T00:00:00Z
35851, (MASETE NONG CONSTRUCTION),QSE,active,0.0,ZAR,ocds-9t57fa-101308,ocds-9t57fa-101308-2024-09-10T00:00:00Z
45898, MSOBODELI,EME,active,193580567.0,ZAR,ocds-9t57fa-101311,ocds-9t57fa-101311-2024-09-10T00:00:00Z
47796,BGM EIENDOMME TRUST,EME,active,302824789.0,ZAR,ocds-9t57fa-101376,ocds-9t57fa-101376-2024-09-10T00:00:00Z
40180, (GX CONNECT),QSE,active,170717270.0,ZAR,ocds-9t57fa-101380,ocds-9t57fa-101380-2024-09-10T00:00:00Z
43661, (TEMPLE BLISS),EME,active,2016446535.0,ZAR,ocds-9t57fa-101419,ocds-9t57fa-101419-2024-09-10T00:00:00Z
43660, (KHULUPHALA TRADINGS),EME,active,2016446535.0,ZAR,ocds-9t57fa-101419,ocds-9t57fa-101419-2024-09-10T00:00:00Z
44666, (THUNZINI TRADING),EME,active,14528945.0,ZAR,ocds-9t57fa-102060,ocds-9t57fa-102060-2024-09-16T00:00:00Z
46286, CHEAPEST C M A TRADING ENTERPRISE,EME,active,1231040093.0,ZAR,ocds-9t57fa-102075,ocds-9t57fa-102075-2024-09-16T00:00:00Z
35286, (BIDVEST OFFICE),EME,active,15848316.0,ZAR,ocds-9t57fa-102110,ocds-9t57fa-102110-2023-11-20T00:00:00Z
43723, ZOPIWA ENGINEERING,EME,active,59590700.0,ZAR,ocds-9t57fa-102247,ocds-9t57fa-102247-2024-09-17T00:00:00Z
45737, ABRAM MASHEGO CONSTRUCTION AND MAINTENANCE WORKS,EME,active,2439211539.0,ZAR,ocds-9t57fa-102603,ocds-9t57fa-102603-2024-09-20T00:00:00Z
49281,4B PROTECTION SERVICES,QSE,active,526026619.0,ZAR,ocds-9t57fa-102645,ocds-9t57fa-102645-2024-09-20T00:00:00Z
40440, (DATACENTRIX),GEN,active,45645950.0,ZAR,ocds-9t57fa-103297,ocds-9t57fa-103297-2024-09-30T00:00:00Z
44608, MG KOBEQO TRADING,EME,active,300202026.0,ZAR,ocds-9t57fa-103311,ocds-9t57fa-103311-2024-09-30T00:00:00Z
48975,JGL FORENSIC SERVICES,EME,active,10.0,ZAR,ocds-9t57fa-103391,ocds-9t57fa-103391-2024-10-01T00:00:00Z
49010,XTND,EME,active,10.0,ZAR,ocds-9t57fa-103391,ocds-9t57fa-103391-2024-10-01T00:00:00Z
54791,VUKUZENZELE LABOUR,GEN,active,10.0,ZAR,ocds-9t57fa-104016,ocds-9t57fa-104016-2024-10-07T00:00:00Z
54795,AFRICARGO AND LOGISTICS,QSE,active,10.0,ZAR,ocds-9t57fa-104016,ocds-9t57fa-104016-2024-10-07T00:00:00Z
55618,SCAN RF PROJECTS,EME,active,1300000000.0,ZAR,ocds-9t57fa-104034,ocds-9t57fa-104034-2024-10-07T00:00:00Z
39622, (DWALA MINING),EME,active,74307250.0,ZAR,ocds-9t57fa-104061,ocds-9t57fa-104061-2024-10-07T00:00:00Z
45917, SIZWE AFRICA IT GROUP,GEN,active,626528051.0,ZAR,ocds-9t57fa-104066,ocds-9t57fa-104066-2024-10-07T00:00:00Z
40157, (Doculam (Pty) Ltd),EME,active,161766834.0,ZAR,ocds-9t57fa-104132,ocds-9t57fa-104132-2024-10-08T00:00:00Z
37947, (MELVA MK),EME,active,1825500.0,ZAR,ocds-9t57fa-104136,ocds-9t57fa-104136-2024-10-08T00:00:00Z
37637, (LICKSMAN ACCOUNTING SERVICES),EME,active,1725000.0,ZAR,ocds-9t57fa-104141,ocds-9t57fa-104141-2024-10-08T00:00:00Z
39609, (RISANA TRADING),EME,active,348085660.0,ZAR,ocds-9t57fa-104175,ocds-9t57fa-104175-2024-10-08T00:00:00Z
43836, TECMED,GEN,active,9213098643.0,ZAR,ocds-9t57fa-104164,ocds-9t57fa-104164-2024-10-08T00:00:00Z
44505, AEVO,EME,active,10.0,ZAR,ocds-9t57fa-104704,ocds-9t57fa-104704-2024-10-14T00:00:00Z
44537, ZIMILE CONSULTING ENGINEERS,EME,active,10.0,ZAR,ocds-9t57fa-104704,ocds-9t57fa-104704-2024-10-14T00:00:00Z
40506, (MELA OKUHLE TRADING ENTERPRISE),EME,active,567397930.0,ZAR,ocds-9t57fa-104712,ocds-9t57fa-104712-2024-10-14T00:00:00Z
61934,ELITE VENDING,EME,active,10.0,ZAR,ocds-9t57fa-104825,ocds-9t57fa-104825-2024-10-14T00:00:00Z
46837, BECKMAN COULTER SOUTH AFRICA,EME,active,10033053859.0,ZAR,ocds-9t57fa-104849,ocds-9t57fa-104849-2024-10-14T00:00:00Z
2710,SIEMENS HEALTHCARE ,EME,active,0.0,ZAR,ocds-9t57fa-10531,ocds-9t57fa-10531-2021-11-02T00:00:00Z
2941,ISF Power Systems,EME,active,0.0,ZAR,ocds-9t57fa-10543,ocds-9t57fa-10543-2021-11-02T00:00:00Z
42273, (KAMESO TOTAL HYGIENE SERVICES),EME,active,192505897.0,ZAR,ocds-9t57fa-105465,ocds-9t57fa-105465-2024-10-21T00:00:00Z
52205,NOSI SURGIMED,EME,active,38883660.0,ZAR,ocds-9t57fa-105509,ocds-9t57fa-105509-2024-10-21T00:00:00Z
46337, NOMOKHWAZANA TRADING,EME,active,15662200.0,ZAR,ocds-9t57fa-105531,ocds-9t57fa-105531-2024-10-21T00:00:00Z
40481, (DALAS BUSINESS ENTERPRISES),EME,active,1216893396.0,ZAR,ocds-9t57fa-105550,ocds-9t57fa-105550-2024-10-21T00:00:00Z
38509, (KUMNKANI TRADING),EME,active,280000.0,ZAR,ocds-9t57fa-105578,ocds-9t57fa-105578-2024-10-22T00:00:00Z
41097, (LAMBETCO),EME,active,1987430.0,ZAR,ocds-9t57fa-105589,ocds-9t57fa-105589-2024-10-22T00:00:00Z
57579,KHONZI PROFESSIONAL SERVICES,EME,active,3130434783.0,ZAR,ocds-9t57fa-105606,ocds-9t57fa-105606-2024-10-22T00:00:00Z
50677,MANONG CONSTRUCTION AND PROJECTS,EME,active,17400950.0,ZAR,ocds-9t57fa-105650,ocds-9t57fa-105650-2024-10-22T00:00:00Z
48474,BILIYON,EME,active,4735632294.0,ZAR,ocds-9t57fa-105708,ocds-9t57fa-105708-2024-10-22T00:00:00Z
55717,F G UNIFORMS,Sole Propriater,active,86241283.0,ZAR,ocds-9t57fa-106342,ocds-9t57fa-106342-2024-11-01T00:00:00Z
55718,SPARKS AND ELLIS,Private Company,active,338696105.0,ZAR,ocds-9t57fa-106342,ocds-9t57fa-106342-2024-11-01T00:00:00Z
61935,MAYIHLOME SAFETY SOLUTIONS,EME,active,10.0,ZAR,ocds-9t57fa-106428,ocds-9t57fa-106428-2024-10-29T00:00:00Z
49469,THEMBALESIZWE SUPPLIERS AND SERVICES,QSE,active,9277483435.0,ZAR,ocds-9t57fa-106473,ocds-9t57fa-106473-2024-10-29T00:00:00Z
49655,VUKASIZWE ENGINEERING AND CONSTRUCTION,EME,active,191090475.0,ZAR,ocds-9t57fa-106929,ocds-9t57fa-106929-2024-11-04T00:00:00Z
37918, (PRINCETOP CORPORATE TRAINING),EME,active,9426780.0,ZAR,ocds-9t57fa-106952,ocds-9t57fa-106952-2024-08-27T00:00:00Z
54836,MPOFU ENGINEERING PROJECTS,EME,active,2410401.0,ZAR,ocds-9t57fa-107140,ocds-9t57fa-107140-2024-11-05T00:00:00Z
43408,( DATACENTRIX),EME,active,1067153814.0,ZAR,ocds-9t57fa-107721,ocds-9t57fa-107721-2024-11-11T00:00:00Z
43406, (METRO COMPUTER SERVICES),EME,active,96341329.0,ZAR,ocds-9t57fa-107723,ocds-9t57fa-107723-2024-11-11T00:00:00Z
48964,THUTO LESEDI MORENA,EME,active,3560700.0,ZAR,ocds-9t57fa-107749,ocds-9t57fa-107749-2024-11-11T00:00:00Z
46625, PULA NTAMOLENG PROJECTS,EME,active,45146426.0,ZAR,ocds-9t57fa-107757,ocds-9t57fa-107757-2024-11-11T00:00:00Z
44059, AMAKHAZA MOIA,QSE,active,69601562.0,ZAR,ocds-9t57fa-107765,ocds-9t57fa-107765-2024-11-11T00:00:00Z
49702,SUCCESS HR SOLUTIONS,EME,active,69000.0,ZAR,ocds-9t57fa-107805,ocds-9t57fa-107805-2024-11-11T00:00:00Z
43662, (OAKANTSWE CONSTRUCTION AND PROJECTS),EME,active,22362900.0,ZAR,ocds-9t57fa-107840,ocds-9t57fa-107840-2024-11-11T00:00:00Z
54060,ACCESS MEDICAL,EME,active,203324.0,ZAR,ocds-9t57fa-107845,ocds-9t57fa-107845-2024-11-11T00:00:00Z
47853,XWI TRADING AND PROJECT,EME,active,500000.0,ZAR,ocds-9t57fa-107882,ocds-9t57fa-107882-2024-11-11T00:00:00Z
45196, XAN M HOLDINGS,EME,active,10.0,ZAR,ocds-9t57fa-107925,ocds-9t57fa-107925-2024-11-12T00:00:00Z
46564, WPM CONSULTING,EME,active,547503397.0,ZAR,ocds-9t57fa-107939,ocds-9t57fa-107939-2024-11-12T00:00:00Z
38372, (TOTAL SMART SOLUTIONS),EME,active,650500.0,ZAR,ocds-9t57fa-108218,ocds-9t57fa-108218-2024-10-21T00:00:00Z
58277,POTTIEPOT,EME,active,380367275.0,ZAR,ocds-9t57fa-108531,ocds-9t57fa-108531-2024-11-18T00:00:00Z
55095,SILETHA TRAVELS,EME,active,594145815.0,ZAR,ocds-9t57fa-108534,ocds-9t57fa-108534-2024-11-18T00:00:00Z
55093,HUMANSDORP HOOFSTRAAT,EME,active,726181452.0,ZAR,ocds-9t57fa-108539,ocds-9t57fa-108539-2024-11-18T00:00:00Z
45241,THUTHUKA OFFICE SUPPLIES,QSE,active,500000000.0,ZAR,ocds-9t57fa-108575,ocds-9t57fa-108575-2024-11-18T00:00:00Z
61230,Higher Education and Training - University of Fort Hare,EME,active,3294000.0,ZAR,ocds-9t57fa-108579,ocds-9t57fa-108579-2024-11-18T00:00:00Z
62625,SAB AND T ADVISORY SERVICES,EME,active,0.0,ZAR,ocds-9t57fa-108608,ocds-9t57fa-108608-2024-11-18T00:00:00Z
64900,HEAT EXCHANGE AIRCONDITIONING AND REFRIGERATION SERVICES,EME,active,135371185.0,ZAR,ocds-9t57fa-108655,ocds-9t57fa-108655-2024-11-18T00:00:00Z
